designation,quantite,prix_achat,cout_revient_pourcentage,cout_revient,prix_gros_pourcentage,prix_gros,prix_vente_pourcentage,prix_vente,
قفة كبيرة,177.00,18,2,18.36,10,19.8,25,22.5,18
قفة متوسطة,14.00,16,2,16.32,10,17.6,25,20,16
قفة صغيرة,44.00,15,2,15.3,10,16.5,25,18.75,15
سطل بلاستيك,5.00,11,2,11.22,10,12.1,25,13.75,11
سطل كوما كبير,2.00,25,2,25.5,10,27.5,25,31.25,25
سطل كوما صغير,37.00,21,2,21.42,10,23.1,25,26.25,21
كرماطة كوما,12.00,35,2,35.7,10,38.5,25,43.75,35
كرماطة بلاستيك,15.00,18,2,18.36,10,19.8,25,22.5,18
Kerakoll Ultracem 5kg,38.00,110,2,112.2,10,121,25,137.5,110
Tetra Fix Noir سيليكون,25.00,71,2,72.42,10,78.1,25,88.75,71
sika conservado 5L,-12.00,126,2,128.52,10,138.6,25,157.5,126
احمر NORTON 180mm 36 زاك,67.00,24,2,24.48,10,26.4,25,30,24
احمر codaflex TIGOR 180mm 60 اك,32.00,20,2,20.4,10,22,25,25,20
احمر CECROPS 180mm 36 زاك,"1  084,00",19,2,19.38,10,20.9,25,23.75,19
احمر codaflex TIGOR 180mm 36 زاك,35.00,20,2,20.4,10,22,25,25,20
بلاستيك اسود codaflex 180mm 36 زاك,28.00,20,2,20.4,10,22,25,25,20
بلاستيك اسود codaflex 180mm 60 زاك,120.00,20,2,20.4,10,22,25,25,20
CECROPS 115mm 36 زاك,"1  076,00",16,2,16.32,10,17.6,25,20,16
nerox 115mm 16 زاك,207.00,12,2,12.24,10,13.2,25,15,12
CECROPS 115mm 60 زاك,146.00,16,2,16.32,10,17.6,25,20,16
NEROX 115mm 120 زاك,98.00,12,2,12.24,10,13.2,25,15,12
CODAFLEX 115mm 60 زاك,49.00,17,2,17.34,10,18.7,25,21.25,17
سيبور ليخة ممتازة MBH,94.00,51,2,52.02,10,56.1,25,63.75,51
سيبور ليخة ممتازة عادية,124.00,15,2,15.3,10,16.5,25,18.75,15
ليخة ممتازة 50 ناشف,0.00,41,2,41.82,10,45.1,25,51.25,41
ليخة ممتازة 100 ناشف,21.00,41,2,41.82,10,45.1,25,51.25,41
ليخة ممتازة 200 ناشف,512.00,41,2,41.82,10,45.1,25,51.25,41
ليخة ممتازة 100 بالماء,88.00,40,2,40.8,10,44,25,50,40
ليخة ممتازة 200 بالماء,97.00,40,2,40.8,10,44,25,50,40
بروكة 35 كرانيط MPC ازرق,25.00,257,2,262.14,10,282.7,25,321.25,257
بروكة 25 كرانيط ازرق,39.00,224,2,228.48,10,246.4,25,280,224
بروكة 90 دهبية,24.00,450,2,459,10,495,25,562.5,450
بروكة 100 دهبية,11.00,450,2,459,10,495,25,562.5,450
بروكة 80 دهبية,3.00,280,2,285.6,10,308,25,350,280
بروكة 70 دهبية,6.00,240,2,244.8,10,264,25,300,240
بروكة 45 دهبية,4.00,250,2,255,10,275,25,312.5,250
بروكة روند 20,0.00,150,2,153,10,165,25,187.5,150
بروكة 30 دهبية MBH,22.00,100,2,102,10,110,25,125,100
بروكة 20 دهبية MBH,13.00,90,2,91.8,10,99,25,112.5,90
بروكة 12 دهبية MBH,-12.00,56,2,57.12,10,61.6,25,70,56
بروكة 10 دهبية MBH,-20.00,54,2,55.08,10,59.4,25,67.5,54
بروكة 35 دهبية عادية M-STORM,-3.00,61,2,62.22,10,67.1,25,76.25,61
بروكة 35 دهبية MBH,-49.00,110,2,112.2,10,121,25,137.5,110
مليطة بروكات 7 دهبية,1.00,550,2,561,10,605,25,687.5,550
بروكة 35 حمراء,0.00,135,2,137.7,10,148.5,25,168.75,135
مدور‎ 1cm DIAMFLEXE شراط حمام,8.00,450,2,459,10,495,25,562.5,450
شراط حمام 1cm MBH مدور,32.00,300,2,306,10,330,25,375,300
شراط حمام 1cm MBH مربع,37.00,300,2,306,10,330,25,375,300
فنطرو FICINA كبير,52.00,110,2,112.2,10,121,25,137.5,110
فنطرو FICINA صغير,-3.00,82,2,83.64,10,90.2,25,102.5,82
بروكة 8 دهبية MBH,-30.00,52,2,53.04,10,57.2,25,65,52
بروكة 6 دهبية MBH,-23.00,50,2,51,10,55,25,62.5,50
ديسكو كرانيط ازرق MBH 180mm,-77.00,110,2,112.2,10,121,25,137.5,110
ديسكو كرانيط ازرق MPC 125mm,166.00,60,2,61.2,10,66,25,75,60
MPC 125MM ديسكو نجمة,58.00,95,2,96.9,10,104.5,25,118.75,95
180mm MBH ديسكو نجمة,-56.00,180,2,183.6,10,198,25,225,180
ديسكو زليج احمر 125mm MBH,-14.00,70,2,71.4,10,77,25,87.5,70
ديسكو زليج احمر عادي 115mm,394.00,23,2,23.46,10,25.3,25,28.75,23
180mm VELAR ديسكو زليج,10.00,133,2,135.66,10,146.3,25,166.25,133
230mm BY SAW BLADE ديسكو خشب,20.00,33,2,33.66,10,36.3,25,41.25,33
115mm BY SAW BLADE ديسكو خشب,180.00,9,2,9.18,10,9.9,25,11.25,9
230 احمر eco plus ديسكو,2.00,82,2,83.64,10,90.2,25,102.5,82
SIMAFLEX 80 ديسكو,76.00,77,2,78.54,10,84.7,25,96.25,77
SIMAFLEX 36 ديسكو,45.00,70,2,71.4,10,77,25,87.5,70
SIMAFLEX 220 ديسكو,27.00,77,2,78.54,10,84.7,25,96.25,77
SIMAFLEX 120 ديسكو,23.00,77,2,78.54,10,84.7,25,96.25,77
ديمندا MBH زرقاء,"-1  046,00",150,2,153,10,165,25,187.5,150
ديمندا MBH سوداء,-31.00,110,2,112.2,10,121,25,137.5,110
ديمندا DAVAM اسود,0.00,240,2,244.8,10,264,25,300,240
أزرق VELAR 180mm ديمندا,7.00,115,2,117.3,10,126.5,25,143.75,115
ديمندا VELAR 180mm أزرق نجمة,5.00,125,2,127.5,10,137.5,25,156.25,125
اسود VELAR 180mm ديمندا,-4.00,140,2,142.8,10,154,25,175,140
ديمندا VELAR 180mm اسود نجمة,1.00,145,2,147.9,10,159.5,25,181.25,145
ديمندا نجمة زرقاء 36,4.00,102,2,104.04,10,112.2,25,127.5,102
مليطة بروكات جبص 16 pcs,18.00,35,2,35.7,10,38.5,25,43.75,35
RUBI 500g مطرقة زليج,4.00,112,2,114.24,10,123.2,25,140,112
RUBI 750g مطرقة زليج,9.00,145,2,147.9,10,159.5,25,181.25,145
Goldblatt مطرقة زليج,16.00,140,2,142.8,10,154,25,175,140
مطرقة مسمار يد لوح,19.00,24,2,24.48,10,26.4,25,30,24
1Kg orange مطرقة,15.00,35,2,35.7,10,38.5,25,43.75,35
2Kg orange مطرقة,5.00,50,2,51,10,55,25,62.5,50
1.5Kg orange مطرقة,13.00,43,2,43.86,10,47.3,25,53.75,43
مطرقة زليج صغيرة عادية,74.00,16,2,16.32,10,17.6,25,20,16
مطرقة زليج كبيرة عادية,29.00,26,2,26.52,10,28.6,25,32.5,26
مطرقة زليج متوسطة عادية,46.00,22,2,22.44,10,24.2,25,27.5,22
VELAR 1Kg مطرقة,12.00,33,2,33.66,10,36.3,25,41.25,33
احمر VIKTA TOP خلاط,-2.00,420,2,428.4,10,462,25,525,420
INGCO 1400W خلاط,2.00,1050.00,2,1071,10,1155,25,1312.5,1050
ميزان ليزر meakida,0.00,700,2,714,10,770,25,875,700
كبير RUBI 1200W خلاط,5.00,1650.00,2,1683,10,1815,25,2062.5,1650
DOTCHTEK فيبراسيون,2.00,670,2,683.4,10,737,25,837.5,670
FALANS 16.8V فيبراسيون,0.00,725,2,739.5,10,797.5,25,906.25,725
فيبراسيون زرقاء 36V,8.00,550,2,561,10,605,25,687.5,550
فيبراسيون FIXED PLATE كبيرة,2.00,1650.00,2,1683,10,1815,25,2062.5,1650
مكينة تقطيع الحيط XCORT,2.00,2500.00,2,2550,10,2750,25,3125,2500
Kzubr 350 بوسط سودور,1.00,950,2,969,10,1045,25,1187.5,950
INGCO 750W بومبا الماء,0.00,563,2,574.26,10,619.3,25,703.75,563
بريسيون الماء XCORT 21V,3.00,1000.00,2,1020,10,1100,25,1250,1000
فيسوس + شينيور INGCO 20V,1.00,674,2,687.48,10,741.4,25,842.5,674
ديكاجور باطري INGCO 20V,2.00,1574.25,2,1605.735,10,1731.675,25,1967.8125,1574
INGCO 20V فيسوس,0.00,562,2,573.24,10,618.2,25,702.5,562
Professional copy bosh شينيور,6.00,240,2,244.8,10,264,25,300,240
اخضر Professional شينيور,5.00,195,2,198.9,10,214.5,25,243.75,195
INGCO 20V منشار صغير,0.00,524,2,534.48,10,576.4,25,655,524
TOTAL DRYWALL SANDER 1050W,-1.00,1500.00,2,1530,10,1650,25,1875,1500
BOSH 2200W لامون,5.00,1040.40,2,1061.208,10,1144.44,25,1300.5,1040
BOSH 2000W لامون,17.00,938,2,956.76,10,1031.8,25,1172.5,938
BOSH 710W لامون,22.00,322,2,328.44,10,354.2,25,402.5,322
CAT 2350W لامون كبير,9.00,959,2,978.18,10,1054.9,25,1198.75,959
mengtai 1250W لامون,48.00,220,2,224.4,10,242,25,275,220
INGCO 960W لامون,2.00,262,2,267.24,10,288.2,25,327.5,262
BOSITENG 1280W لامون,3.00,220,2,224.4,10,242,25,275,220
INGCO 1400W لامون ريكلاج,-7.00,600,2,612,10,660,25,750,600
لامون صفراء صغيرة Angle grinder,-1.00,170,2,173.4,10,187,25,212.5,170
TOTAL ROTARY HAMMER 800W ور,-13.00,580,2,591.6,10,638,25,725,580
XCORT 1800W ديكاجور,1.00,1300.00,2,1326,10,1430,25,1625,1300
مولينيكس TOTAL TWP775016 750W ء,1.00,1450.00,2,1479,10,1595,25,1812.5,1450
مولينيكس TOTAL TWP7150026 1PHAS,1.00,1750.00,2,1785,10,1925,25,2187.5,1750
سيبور ليزر اصفر,15.00,90,2,91.8,10,99,25,112.5,90
MAAN 10*10 بلانة زليج,27.00,40,2,40.8,10,44,25,50,40
BRIRCOLUX 10*10 بلانة زليج,52.00,38,2,38.76,10,41.8,25,47.5,38
VIKTA TOP 10*10 بلانة زليج,49.00,66,2,67.32,10,72.6,25,82.5,66
50cm 10*10 بلانة زليج,8.00,100,2,102,10,110,25,125,100
بلانة زليج DINGQI,11.00,27,2,27.54,10,29.7,25,33.75,27
INGCO 10*10 بلانة,31.00,44,2,44.88,10,48.4,25,55,44
RUBI 10*10 بلانة,13.00,58,2,59.16,10,63.8,25,72.5,58
RUBI 8*8 بلانة,12.00,78,2,79.56,10,85.8,25,97.5,78
RUBI 3*3 بلانة,14.00,57,2,58.14,10,62.7,25,71.25,57
RUBI 6*6 بلانة,13.00,78,2,79.56,10,85.8,25,97.5,78
بلانة ابوكسي MAAN,19.00,45,2,45.9,10,49.5,25,56.25,45
بلانة ابوكسي VIKTA TOP,22.00,66,2,67.32,10,72.6,25,82.5,66
بلانة كريفي DINGQI,29.00,29,2,29.58,10,31.9,25,36.25,29
بلانة مستيك VIKTA TOP,24.00,32,2,32.64,10,35.2,25,40,32
يد مفتوح PEYGRAN 10*10 بلانة,1.00,87,2,88.74,10,95.7,25,108.75,87
بلانة مستيك SGS,-6.00,43,2,43.86,10,47.3,25,53.75,43
بلانة مستيك RUBI يد ابيض,13.00,55,2,56.1,10,60.5,25,68.75,55
بلانة بونج SGS,5.00,48,2,48.96,10,52.8,25,60,48
50cm 10*10 ABC بلانة,0.00,46,2,46.92,10,50.6,25,57.5,46
رولو صباغة AKRO,29.00,38,2,38.76,10,41.8,25,47.5,38
رولو ابوكسي AKRO,5.00,77,2,78.54,10,84.7,25,96.25,77
رولو صباغة عادي,87.00,12,2,12.24,10,13.2,25,15,12
اليد رولو طويل,45.00,6,2,6.12,10,6.6,25,7.5,6
اليد رولو قصير AKRO,302.00,3,2,3.06,10,3.3,25,3.75,3
راس خلاط كبير,10.00,55,2,56.1,10,60.5,25,68.75,55
راس خلاط هيلتي,20.00,35,2,35.7,10,38.5,25,43.75,35
سباط 40,26.00,160,2,163.2,10,176,25,200,160
سباط 41,19.00,160,2,163.2,10,176,25,200,160
سباط 42,22.00,160,2,163.2,10,176,25,200,160
سباط 43,34.00,160,2,163.2,10,176,25,200,160
سباط 44,17.00,160,2,163.2,10,176,25,200,160
لقاط حديد ممتاز,7.00,135,2,137.7,10,148.5,25,168.75,135
GASOLINE BRUSH CUTTER ة العشب,1.00,1100.00,2,1122,10,1210,25,1375,1100
مليطة لامون + شينيور XCORT,4.00,550,2,561,10,605,25,687.5,550
سطل مستيك RUBI,1.00,420,2,428.4,10,462,25,525,420
بلانة ابوكسي AKRO 50cm,0.00,105,2,107.1,10,115.5,25,131.25,105
مكينة لمبلاج صمطة,0.00,1200.00,2,1224,10,1320,25,1500,1200
granite silent DIAMFLEXE 500 شار,1.00,1100.00,2,1122,10,1210,25,1375,1100
NORTON clipper 350 BETON منشار,2.00,1534.60,2,1565.292,10,1688.06,25,1918.25,1535
BETTA 5m*25m متر,5.00,32,2,32.64,10,35.2,25,40,32
granite DIAMFLEXE 400 ديسكو منشار,2.00,520,2,530.4,10,572,25,650,520
INGELEC 6 رالونش,19.00,52,2,53.04,10,57.2,25,65,52
mix silent AGUILA 350 ديسكو منشار,1.00,820,2,836.4,10,902,25,1025,820
mix AGUILA 350 ديسكو منشار,3.00,720,2,734.4,10,792,25,900,720
granite silent fratelle 350 كو منشار,1.00,640,2,652.8,10,704,25,800,640
porcelanico AGUILA 350 يسكو منشار,5.00,880,2,897.6,10,968,25,1100,880
granite EURO DIAMANT 350 منشار,0.00,550,2,561,10,605,25,687.5,550
granite silent EURO DIAMANT 350,4.00,630,2,642.6,10,693,25,787.5,630
marmo EURO DIAMANT 350 منشار,8.00,630,2,642.6,10,693,25,787.5,630
marmo FRATELLE 300 ديسكو منشار,3.00,500,2,510,10,550,25,625,500
granite DIAMFLEXE 350 سكو منشار,3.00,450,2,459,10,495,25,562.5,450
granite silent DIAMFLEXE 350 ار,0.00,580,2,591.6,10,638,25,725,580
granite AAA 350 ديسكو منشار,2.00,450,2,459,10,495,25,562.5,450
ceramic UNIVERSEL DIAMOND 3,1.00,900,2,918,10,990,25,1125,900
granite FRATELLE 300 ديسكو منشار,4.00,450,2,459,10,495,25,562.5,450
شراط حمام 350 DIAMFLEXE مروندي,3.00,950,2,969,10,1045,25,1187.5,950
مربع DIAMFLEXE 350 شراط حمام,1.00,950,2,969,10,1045,25,1187.5,950
ملاسة فيبراسيون,5.00,275,2,280.5,10,302.5,25,343.75,275
DINQGI 200mm ملاسة,78.00,12,2,12.24,10,13.2,25,15,12
DINQGI 180mm ملاسة,70.00,12,2,12.24,10,13.2,25,15,12
سيبور شنفراج ممتازة انوكس قصير,124.00,120,2,122.4,10,132,25,150,120
INGELEC 5 رالونش,16.00,45,2,45.9,10,49.5,25,56.25,45
INGELEC 4 رالونش,6.00,42,2,42.84,10,46.2,25,52.5,42
INGELEC 3 رالونش,-2.00,32,2,32.64,10,35.2,25,40,32
INGELEC 5m رالونش,12.00,68,2,69.36,10,74.8,25,85,68
INGELEC 25m رالونش,0.00,323,2,329.46,10,355.3,25,403.75,323
INGELEC 50m رالونش,-7.00,540,2,550.8,10,594,25,675,540
INGELEC 15m رالونش,0.00,215,2,219.3,10,236.5,25,268.75,215
DINQGI 60m متر ليزر,15.00,160,2,163.2,10,176,25,200,160
DINQGI 40m متر ليزر,0.00,150,2,153,10,165,25,187.5,150
XCORT 2450W لامون,0.00,940,2,958.8,10,1034,25,1175,940
XCORT 2600W ديكاجور,1.00,1750.00,2,1785,10,1925,25,2187.5,1750
VIKTA TOP 12v فيبراسيون,-2.00,720,2,734.4,10,792,25,900,720
فيبراسيون RUBI 18v,1.00,1500.00,2,1530,10,1650,25,1875,1500
زيت مكينة,23.00,3,2,3.06,10,3.3,25,3.75,3
INDEX 12*60 (25 pc) شوفي,25.00,28,2,28.56,10,30.8,25,35,28
صفراء HEAVY DUTY 36 كريفا,5.00,135,2,137.7,10,148.5,25,168.75,135
فنطوزة ريح TOP VIE حمراء مكانا,-1.00,326,2,332.52,10,358.6,25,407.5,326
فنطوزة ريح DAWLIN حمراء مكانا,0.00,220,2,224.4,10,242,25,275,220
اسود MAKE PAVING WORK EASIE,30.00,105,2,107.1,10,115.5,25,131.25,105
فنطوزة 2 حمراء حديد كبيرة,1.00,115,2,117.3,10,126.5,25,143.75,115
فنطوزة 2 صفراء حديد صغيرة,2.00,78,2,79.56,10,85.8,25,97.5,78
فنطوزة 3 حمراء حديد كبيرة,8.00,140,2,142.8,10,154,25,175,140
فنطوزة 3 كري حديد صغيرة,-1.00,135,2,137.7,10,148.5,25,168.75,135
فنطوزة 1 كري حديد,0.00,65,2,66.3,10,71.5,25,81.25,65
فنطوزة 2 شنفراج صفراء حديد,7.00,184,2,187.68,10,202.4,25,230,184
ميزان الماء 80 KOVINE,34.00,173,2,176.46,10,190.3,25,216.25,173
ميزان الماء 60 KOVINE,72.00,143,2,145.86,10,157.3,25,178.75,143
ميزان الماء 50 KOVINE,35.00,133,2,135.66,10,146.3,25,166.25,133
ميزان الماء 40 KOVINE,40.00,122,2,124.44,10,134.2,25,152.5,122
ديسكو TIGOR 125mm تقطيع حديد,126.00,9,2,9.18,10,9.9,25,11.25,9
تقطيع حديد laminate 125mm ديسكو,413.00,5,2,5.1,10,5.5,25,6.25,5
تقطيع حديد GRUPO GRIPTANA 115mm,219.00,4,2,4.08,10,4.4,25,5,4
ديسكو ECO PLUS 230mm تقطيع حديد,-5.00,10,2,10.2,10,11,25,12.5,10
ديسكو TIGOR 230mm تقطيع حديد,-32.00,13,2,13.26,10,14.3,25,16.25,13
SAIT 320 ليخة,585.00,10,2,10.2,10,11,25,12.5,10
SAIT 400 ليخة,876.00,10,2,10.2,10,11,25,12.5,10
SAIT 220 ليخة,23.00,9,2,9.18,10,9.9,25,11.25,9
SAIT 120 ليخة,150.00,9,2,9.18,10,9.9,25,11.25,9
SAIT 80 ليخة,535.00,9,2,9.18,10,9.9,25,11.25,9
SAIT 60 ليخة,820.00,10,2,10.2,10,11,25,12.5,10
SAIT ديسكو,291.00,31,2,31.62,10,34.1,25,38.75,31
شكوتش لمبلاج 50m,275.00,6,2,6.12,10,6.6,25,7.5,6
وشية ميطالون انوكس 4PCS STAINLESS,8.00,18,2,18.36,10,19.8,25,22.5,18
كوشية ميطالون عادية,223.00,4,2,4.08,10,4.4,25,5,4
بلانة زليج يد لوح صغيرة,16.00,5,2,5.1,10,5.5,25,6.25,5
DINQGI 200mm كراطوار,-4.00,20,2,20.4,10,22,25,25,20
DINQGI 220mm كراطوار,3.00,20,2,20.4,10,22,25,25,20
BETTA 7.5m متر,-19.00,50,2,51,10,55,25,62.5,50
BETTA 5m*19m متر,38.00,29,2,29.58,10,31.9,25,36.25,29
DINQGI 2.5 كوشية,238.00,5,2,5.1,10,5.5,25,6.25,5
DINQGI 2 كوشية,168.00,5,2,5.1,10,5.5,25,6.25,5
DINQGI 3 كوشية,125.00,5,2,5.1,10,5.5,25,6.25,5
متر 5 عادي,443.00,7,2,7.14,10,7.7,25,8.75,7
متر 3 عادي,650.00,6,2,6.12,10,6.6,25,7.5,6
DINQGI transp 25mm 5 متر,254.00,14,2,14.28,10,15.4,25,17.5,14
DINQGI transp 3 متر,-72.00,10,2,10.2,10,11,25,12.5,10
مسطرة زليج اسود,8.00,43,2,43.86,10,47.3,25,53.75,43
مرمو NORTON 230mm ديسكو,55.00,18,2,18.36,10,19.8,25,22.5,18
CODAFLEX 180mm 60 ليخة,353.00,6,2,6.12,10,6.6,25,7.5,6
SAIT 115mm 60 ليخة,305.00,6,2,6.12,10,6.6,25,7.5,6
SAIT 115mm 80 ليخة,171.00,6,2,6.12,10,6.6,25,7.5,6
SAIT 115mm 220 ليخة,247.00,5,2,5.1,10,5.5,25,6.25,5
SAIT 115mm 320 ليخة,198.00,5,2,5.1,10,5.5,25,6.25,5
SAIT 115mm 400 ليخة,505.00,5,2,5.1,10,5.5,25,6.25,5
بروس ميطاليك TOTAL 75mm,13.00,22,2,22.44,10,24.2,25,27.5,22
TOTAL 100mm بروس ميطاليك,4.00,27,2,27.54,10,29.7,25,33.75,27
شربون BOSH كبير,219.00,55,2,56.1,10,60.5,25,68.75,55
شربون BOSH صغير,51.00,40,2,40.8,10,44,25,50,40
SDS-plus راس هيلتي,37.00,5,2,5.1,10,5.5,25,6.25,5
شربون Makita كبير,198.00,52,2,53.04,10,57.2,25,65,52
شربون Makita صغير,157.00,41,2,41.82,10,45.1,25,51.25,41
75mm DINQGI قفل,26.00,35,2,35.7,10,38.5,25,43.75,35
63mm DINQGI قفل,27.00,25,2,25.5,10,27.5,25,31.25,25
2.5 يد لوح DINQGI كوشية,78.00,7,2,7.14,10,7.7,25,8.75,7
RUBI بونجة,169.00,30,2,30.6,10,33,25,37.5,30
"mpc 100 pcs زيار زليج 5,0 ملم","4  993,00",19,2,19.38,10,20.9,25,23.75,19
mpc 100 pcs زيار زليج 1 ملم,-408.00,20,2,20.4,10,22,25,25,20
vedal 100 pcs طاكون زيار,340.50,31,2,31.62,10,34.1,25,38.75,31
"bilt0,5 mm 200pcs زيار",100.00,68,2,69.36,10,74.8,25,85,68
bilt1 mm 200pcs زيار,72.00,68,2,69.36,10,74.8,25,85,68
bilt2 mm 200pcs زيار,9.00,75,2,76.5,10,82.5,25,93.75,75
bilt3 mm 200pcs زيار,17.00,68,2,69.36,10,74.8,25,85,68
"bilt1,5 mm 200pcs زيار",5.00,68,2,69.36,10,74.8,25,85,68
YUZI 32mm قفل,30.00,6,2,6.12,10,6.6,25,7.5,6
YUZI 38mm قفل,43.00,8,2,8.16,10,8.8,25,10,8
YUZI 50mm قفل,19.00,10,2,10.2,10,11,25,12.5,10
YUZI 63mm قفل,5.00,15,2,15.3,10,16.5,25,18.75,15
PICASSO 55mm قفل,6.00,16,2,16.32,10,17.6,25,20,16
Vachette 65mm قفل,3.00,72,2,73.44,10,79.2,25,90,72
PICASSO 75mm قفل,5.00,24,2,24.48,10,26.4,25,30,24
DINAGI 90mm قفل,9.00,130,2,132.6,10,143,25,162.5,130
DINAGI 80mm قفل,9.00,110,2,112.2,10,121,25,137.5,110
DINQGI 151070 قفل,10.00,85,2,86.7,10,93.5,25,106.25,85
noutac 25unite 8 شوفي,"3  181,00",2,2,2.04,10,2.2,25,2.5,2
noutac 25unite 10 شوفي,619.00,2,2,2.04,10,2.2,25,2.5,2
BEKHAL 25unite 12 شوفي,120.00,6,2,6.12,10,6.6,25,7.5,6
DINQGI orange 25mm 5 متر,3.00,14,2,14.28,10,15.4,25,17.5,14
DINQGI transp 19mm 5 متر,27.00,9,2,9.18,10,9.9,25,11.25,9
ABC 500W سوفلور,1.00,220,2,224.4,10,242,25,275,220
شوكة زليج عادية,225.00,19,2,19.38,10,20.9,25,23.75,19
LAKOT 150mm سرجوان,28.00,28,2,28.56,10,30.8,25,35,28
كاسك غبرة,10.00,35,2,35.7,10,38.5,25,43.75,35
كاسك سودور,4.00,38,2,38.76,10,41.8,25,47.5,38
Protige orange بروطيج ركابي,3.00,133,2,135.66,10,146.3,25,166.25,133
بروطيج ركابي Protige عادي,62.00,23,2,23.46,10,25.3,25,28.75,23
بروطيج ركابي رويدة Kneeling pulley,2.00,280,2,285.6,10,308,25,350,280
TOTAL وانطيس,5.00,9,2,9.18,10,9.9,25,11.25,9
كمامة ممتازة فنطرو 1 سوداء,7.00,30,2,30.6,10,33,25,37.5,30
كمامة ممتازة فنطرو 2 سوداء,5.00,40,2,40.8,10,44,25,50,40
وانطيس بلاستيك اسود ممتاز,218.00,7,2,7.14,10,7.7,25,8.75,7
وانطيس ممتاز ARMANO,10.00,32,2,32.64,10,35.2,25,40,32
XCORT 100mm بروس ميطاليك,2.00,14,2,14.28,10,15.4,25,17.5,14
وانطيس بلاستيك عادي,187.00,5,2,5.1,10,5.5,25,6.25,5
Work Gloves وانطيس اخضر,750.00,6,2,6.12,10,6.6,25,7.5,6
وانطيس احمر عادي,458.00,4,2,4.08,10,4.4,25,5,4
Angle Grinder سيبور شنفراج,1.00,130,2,132.6,10,143,25,162.5,130
سيبور شنفراج اينوكس طويل,6.00,195,2,198.9,10,214.5,25,243.75,195
بروس ميطاليك Velar 3mm دهبي,65.00,10,2,10.2,10,11,25,12.5,10
بروس ميطاليك Velar 4mm,12.00,18,2,18.36,10,19.8,25,22.5,18
بروس ميطاليك Velar 3mm,38.00,12,2,12.24,10,13.2,25,15,12
INGCO 600g شاقور,7.00,67,2,68.34,10,73.7,25,83.75,67
INGCO 250m بروس باليد,26.00,14,2,14.28,10,15.4,25,17.5,14
XCORT plat مكدي,13.00,35,2,35.7,10,38.5,25,43.75,35
XCORT PONTIRO مكدي,15.00,35,2,35.7,10,38.5,25,43.75,35
ركاب اينوكس ARM JACK صغيرة,15.00,80,2,81.6,10,88,25,100,80
ركاب اينوكس باليد ARM JACK كبير,0.00,100,2,102,10,110,25,125,100
ركاب اينوكس باليد,13.00,60,2,61.2,10,66,25,75,60
لصاق دوبل فاس NANO TAPE,54.00,40,2,40.8,10,44,25,50,40
بكية سرجوان 4PCS ABC,10.00,80,2,81.6,10,88,25,100,80
كبير INGCO 140*1200 سرجوان,16.00,251,2,256.02,10,276.1,25,313.75,251
كبير INGCO 140*1000 سرجوان,19.00,218,2,222.36,10,239.8,25,272.5,218
بكية طورنوفيس احمر RUIKE,22.00,45,2,45.9,10,49.5,25,56.25,45
طورنوفيس KRIT ميريكان,17.00,11,2,11.22,10,12.1,25,13.75,11
KRIT PLAT طورنوفيس,13.00,10,2,10.2,10,11,25,12.5,10
ERGO gris طورنوفيس,10.00,8,2,8.16,10,8.8,25,10,8
Scraper موس جوان,16.00,27,2,27.54,10,29.7,25,33.75,27
بكية بروكات DAWLIN 6PCS حديد,52.00,70,2,71.4,10,77,25,87.5,70
TOTAL BITS SET 24pcs طوكلي,5.00,55,2,56.1,10,60.5,25,68.75,55
ERGO 2mm سيصابة,19.00,8,2,8.16,10,8.8,25,10,8
orange 3mm سيصابة,19.00,9,2,9.18,10,9.9,25,11.25,9
orange 5mm سيصابة,16.00,14,2,14.28,10,15.4,25,17.5,14
UTELS 8*200mm سيصابة,10.00,18,2,18.36,10,19.8,25,22.5,18
DINGQI 180mm 21007 بانس,22.00,30,2,30.6,10,33,25,37.5,30
لقاط سلك عادي,28.00,10,2,10.2,10,11,25,12.5,10
BELLOTA لقاط سلك,26.00,19,2,19.38,10,20.9,25,23.75,19
لقاط سلك XCORT,11.00,28,2,28.56,10,30.8,25,35,28
orange 8/10 كريفا,86.00,15,2,15.3,10,16.5,25,18.75,15
orange 12/10 كريفا,35.00,18,2,18.36,10,19.8,25,22.5,18
orange 8/6 كريفا,86.00,14,2,14.28,10,15.4,25,17.5,14
orange 12/14 كريفا,6.00,60,2,61.2,10,66,25,75,60
orange 16/14 كريفا,7.00,60,2,61.2,10,66,25,75,60
سيبور غبرة لامون كبيرة DOTCHTEK,5.00,240,2,244.8,10,264,25,300,240
سيبور غبرة لامون صغير DOTCHTEK,1.00,180,2,183.6,10,198,25,225,180
TOTAL 50m*12.5mm متر,2.00,110,2,112.2,10,121,25,137.5,110
TOTAL 100m*12.5mm متر,5.00,200,2,204,10,220,25,250,200
orange شينيور INGCO 100mm بروس,0.00,29,2,29.58,10,31.9,25,36.25,29
بروس INGCO 100mm شينيور اسود,3.00,29,2,29.58,10,31.9,25,36.25,29
ABC Pruning saw 14 منشار ساموراي,11.00,23,2,23.46,10,25.3,25,28.75,23
INGCO 300mm HHF3068 منشار,9.00,27,2,27.54,10,29.7,25,33.75,27
منشار جبص DANI,17.00,19,2,19.38,10,20.9,25,23.75,19
بكية بروشة عادية,9.00,45,2,45.9,10,49.5,25,56.25,45
AKRO 33 بروشة,59.00,14,2,14.28,10,15.4,25,17.5,14
هيدورة ديسكو INGCO,7.00,37,2,37.74,10,40.7,25,46.25,37
